time_s,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,tau_ext_6,q_state_0,q_state_1,q_state_2,q_state_3,q_state_4,q_state_5,q_state_6,dq_state_0,dq_state_1,dq_state_2,dq_state_3,dq_state_4,dq_state_5,dq_state_6
0.087116,4.050860,1.623131,-2.985458,4.156030,-0.965776,-0.112127,0.132029,0.926904,-0.249348,0.554394,0.370276,-0.538716,-0.260711,-0.034480,-0.412112,-0.635847,0.282266,-2.333249,0.173658,1.764643,0.589316,0.634848,0.252838,-0.472399,0.260957,-0.107248,-0.008020,-0.001312
0.087972,4.026286,1.609606,-2.971279,4.147067,-0.966419,-0.115166,0.132227,0.939316,-0.295728,0.543763,0.401708,-0.540725,-0.260637,-0.034479,-0.411449,-0.635578,0.281776,-2.332969,0.173555,1.764631,0.589318,0.642672,0.258342,-0.477954,0.267994,-0.106755,-0.009161,-0.001145
0.089010,4.003294,1.598805,-2.960131,4.141017,-0.968848,-0.119018,0.131304,0.945600,-0.347014,0.522052,0.434617,-0.542822,-0.260221,-0.034482,-0.410796,-0.635306,0.281289,-2.332692,0.173452,1.764631,0.589317,0.648041,0.262293,-0.480536,0.270899,-0.105974,-0.006346,-0.001440
0.090078,3.974024,1.585162,-2.955496,4.132218,-0.968940,-0.120141,0.132130,0.947451,-0.403134,0.491831,0.468686,-0.544838,-0.259535,-0.034469,-0.410131,-0.635035,0.280801,-2.332421,0.173354,1.764632,0.589323,0.652704,0.265012,-0.481905,0.271184,-0.103626,-0.002816,0.000528
0.091014,3.946517,1.573716,-2.944990,4.124891,-0.971219,-0.119722,0.131324,0.943832,-0.463661,0.451328,0.505485,-0.546821,-0.258359,-0.034454,-0.409443,-0.634754,0.280326,-2.332140,0.173250,1.764628,0.589319,0.660300,0.269068,-0.480194,0.274053,-0.103615,-0.002029,-0.001012
0.091966,3.912597,1.559273,-2.933035,4.115148,-0.972895,-0.118681,0.132018,0.931874,-0.527242,0.396811,0.545331,-0.549045,-0.256587,-0.034476,-0.408765,-0.634472,0.279836,-2.331861,0.173150,1.764624,0.589325,0.666947,0.271913,-0.481097,0.275351,-0.101291,-0.002725,0.000721
0.093059,3.884678,1.546725,-2.916223,4.104658,-0.974617,-0.118450,0.132390,0.910004,-0.592276,0.327241,0.587405,-0.551746,-0.254285,-0.034553,-0.408066,-0.634188,0.279354,-2.331575,0.173053,1.764614,0.589321,0.676599,0.276266,-0.482822,0.278953,-0.099641,-0.004014,-0.000565
0.094101,3.852287,1.536252,-2.909055,4.097872,-0.974541,-0.120515,0.131557,0.879035,-0.657036,0.245586,0.629437,-0.555036,-0.251756,-0.034682,-0.407374,-0.633898,0.278860,-2.331283,0.172958,1.764610,0.589319,0.683438,0.279665,-0.487076,0.283245,-0.098098,-0.004552,-0.001166
0.095091,3.821268,1.521647,-2.898907,4.090409,-0.974505,-0.121896,0.131678,0.840140,-0.719418,0.155048,0.669294,-0.558956,-0.249243,-0.034836,-0.406664,-0.633607,0.278370,-2.330998,0.172857,1.764612,0.589323,0.692290,0.281969,-0.486394,0.283901,-0.098260,-0.002798,0.000634
0.095975,3.791953,1.509079,-2.888004,4.080885,-0.978232,-0.122242,0.131700,0.792769,-0.778950,0.055363,0.707689,-0.563520,-0.246577,-0.034983,-0.405940,-0.633313,0.277876,-2.330709,0.172760,1.764611,0.589323,0.700200,0.286311,-0.487138,0.285173,-0.098359,-0.001725,0.000492
0.097027,3.761150,1.498805,-2.873357,4.072991,-0.980071,-0.123431,0.132155,0.736876,-0.836601,-0.053389,0.745656,-0.568684,-0.243625,-0.035114,-0.405220,-0.633014,0.277388,-2.330417,0.172673,1.764611,0.589324,0.707189,0.289492,-0.488157,0.288348,-0.094634,-0.001662,0.000554
0.098048,3.740073,1.484447,-2.862419,4.062103,-0.982910,-0.122218,0.131941,0.674143,-0.891333,-0.168029,0.781976,-0.574349,-0.240576,-0.035232,-0.404479,-0.632719,0.276895,-2.330128,0.172585,1.764612,0.589322,0.714872,0.291661,-0.491262,0.290057,-0.093030,-0.000798,-0.000230
0.098997,3.713443,1.470961,-2.851807,4.052210,-0.983968,-0.122104,0.132301,0.607454,-0.941785,-0.283832,0.815131,-0.580353,-0.237696,-0.035333,-0.403743,-0.632412,0.276399,-2.329820,0.172498,1.764608,0.589322,0.717655,0.295740,-0.492388,0.294333,-0.090368,-0.002327,0.000335
0.100110,3.684548,1.458636,-2.830426,4.044002,-0.985155,-0.120756,0.132012,0.539834,-0.988593,-0.396909,0.844452,-0.586523,-0.235177,-0.035407,-0.403010,-0.632104,0.275901,-2.329514,0.172412,1.764605,0.589323,0.723258,0.299305,-0.493237,0.297563,-0.089447,-0.002707,-0.000285
