time_s,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,tau_ext_6,q_state_0,q_state_1,q_state_2,q_state_3,q_state_4,q_state_5,q_state_6,dq_state_0,dq_state_1,dq_state_2,dq_state_3,dq_state_4,dq_state_5,dq_state_6
0.003161,-0.008457,0.383971,-0.008585,-0.007111,0.072784,0.008894,-0.001492,-0.023667,-0.735525,0.199004,0.073830,0.262360,-0.116840,0.094007,0.001858,-0.783275,-0.001078,-2.355923,-0.003709,1.576280,0.774444,-0.000311,-0.000047,0.000222,-0.001387,-0.000533,0.000317,0.000691
0.004029,-0.012938,0.382667,-0.010828,-0.005743,0.072122,0.009031,-0.001284,-0.023600,-0.733178,0.199131,0.074069,0.262257,-0.116379,0.094125,0.001858,-0.783275,-0.001084,-2.355922,-0.003706,1.576276,0.774439,-0.000263,0.000449,-0.001027,-0.001400,0.000519,-0.000844,-0.000396
0.005069,-0.013621,0.382427,-0.006350,-0.004257,0.071701,0.010375,-0.002429,-0.023629,-0.733385,0.199359,0.074911,0.262276,-0.116162,0.094061,0.001859,-0.783271,-0.001077,-2.355924,-0.003706,1.576280,0.774436,0.000580,0.001537,0.000837,-0.002561,0.000451,0.000050,-0.001167
0.006042,-0.017345,0.385901,-0.007121,-0.008037,0.071159,0.011004,-0.001973,-0.024207,-0.738186,0.198486,0.079342,0.262312,-0.115659,0.093991,0.001856,-0.783270,-0.001080,-2.355927,-0.003706,1.576281,0.774442,-0.000720,0.002219,-0.000434,-0.003808,-0.000001,-0.000065,0.000690
0.007091,-0.019743,0.387112,-0.004259,-0.006505,0.068843,0.012229,-0.002421,-0.024842,-0.745948,0.197133,0.085664,0.262356,-0.115067,0.093951,0.001856,-0.783273,-0.001076,-2.355920,-0.003709,1.576281,0.774439,-0.000398,0.001040,0.000834,0.000011,-0.000238,0.000472,-0.000651
0.008000,-0.024400,0.388962,0.002063,-0.007536,0.070381,0.014176,-0.002967,-0.025350,-0.752128,0.195529,0.089825,0.262303,-0.114761,0.093948,0.001854,-0.783274,-0.001076,-2.355925,-0.003705,1.576280,0.774437,-0.000865,0.001031,0.000358,-0.001273,0.001176,0.000500,-0.000171
0.009046,-0.029012,0.390556,0.001732,-0.006400,0.068646,0.014973,-0.003386,-0.025338,-0.755084,0.194635,0.090700,0.262163,-0.114785,0.093987,0.001856,-0.783274,-0.001080,-2.355924,-0.003710,1.576278,0.774439,0.000002,0.000611,-0.001934,-0.000103,-0.001109,-0.000357,0.000538
0.010009,-0.030884,0.390202,0.004011,-0.005465,0.068346,0.014829,-0.003984,-0.024501,-0.755099,0.195455,0.088927,0.261998,-0.115002,0.094057,0.001858,-0.783275,-0.001078,-2.355926,-0.003707,1.576278,0.774438,0.000607,0.000399,-0.000791,-0.001023,-0.000246,0.000109,0.000938
0.011098,-0.037167,0.392155,0.005358,-0.006827,0.068306,0.016787,-0.003341,-0.023461,-0.753475,0.196931,0.085807,0.261760,-0.115255,0.094125,0.001856,-0.783273,-0.001080,-2.355929,-0.003708,1.576282,0.774441,0.000015,0.001098,-0.001028,-0.001723,-0.000756,0.001388,0.001721
0.011952,-0.039003,0.390759,0.003634,-0.005617,0.065606,0.019046,-0.004343,-0.022705,-0.751420,0.198072,0.082248,0.261403,-0.115479,0.094165,0.001860,-0.783273,-0.001080,-2.355924,-0.003707,1.576281,0.774437,0.001384,0.000708,-0.000689,-0.000269,-0.001637,0.000718,-0.000029
0.013050,-0.039670,0.389389,0.007224,-0.006367,0.065850,0.020535,-0.003601,-0.022892,-0.749145,0.197734,0.078286,0.260839,-0.115680,0.094171,0.001858,-0.783269,-0.001076,-2.355927,-0.003704,1.576279,0.774442,0.000934,0.001842,0.000930,-0.001300,0.000344,-0.000517,0.001630
0.013979,-0.044956,0.389437,0.007977,-0.005395,0.064064,0.021300,-0.003772,-0.023990,-0.748309,0.195537,0.075022,0.260094,-0.115782,0.094137,0.001856,-0.783262,-0.001078,-2.355925,-0.003710,1.576281,0.774438,-0.000474,0.003050,0.000149,-0.000397,-0.000782,-0.000697,-0.000334
0.014979,-0.047431,0.389209,0.008019,-0.006274,0.062083,0.021226,-0.004525,-0.025166,-0.750314,0.192594,0.073315,0.259310,-0.115758,0.094047,0.001859,-0.783258,-0.001078,-2.355926,-0.003708,1.576277,0.774438,0.000680,0.003489,0.000644,-0.001190,0.000228,-0.000325,-0.000361
0.016037,-0.050243,0.388913,0.010475,-0.006059,0.062320,0.023066,-0.005165,-0.026601,-0.754649,0.188787,0.072879,0.258475,-0.115658,0.093898,0.001859,-0.783253,-0.001075,-2.355925,-0.003705,1.576282,0.774441,0.000301,0.004091,0.001509,-0.000168,0.001339,0.000924,0.000726
0.016997,-0.055361,0.386889,0.017551,-0.006379,0.061541,0.024119,-0.004918,-0.028474,-0.760277,0.183819,0.072989,0.257545,-0.115560,0.093703,0.001857,-0.783247,-0.001075,-2.355925,-0.003707,1.576281,0.774441,0.000036,0.004755,0.001249,-0.000218,0.000219,0.000338,0.001558
0.018049,-0.058410,0.389404,0.017309,-0.005554,0.058275,0.025745,-0.005516,-0.029888,-0.767113,0.179449,0.073530,0.256645,-0.115479,0.093477,0.001861,-0.783239,-0.001079,-2.355923,-0.003708,1.576281,0.774440,0.001026,0.006202,-0.001374,0.000226,0.000222,0.000436,0.000649
0.019102,-0.060537,0.387304,0.019927,-0.005345,0.058479,0.026291,-0.005386,-0.030308,-0.774864,0.177114,0.074680,0.255864,-0.115357,0.093219,0.001861,-0.783234,-0.001075,-2.355925,-0.003702,1.576280,0.774443,0.000855,0.005452,-0.000291,-0.000390,0.002565,0.000068,0.001409
0.020058,-0.062528,0.389431,0.022408,-0.004874,0.060020,0.027333,-0.005113,-0.030043,-0.782632,0.176204,0.076479,0.255149,-0.115133,0.092918,0.001861,-0.783224,-0.001076,-2.355925,-0.003705,1.576280,0.774441,0.000229,0.006987,-0.000620,-0.000417,0.001485,0.000789,0.000699
0.020981,-0.067075,0.387573,0.022220,-0.005448,0.058491,0.028399,-0.005831,-0.028982,-0.790051,0.176474,0.079061,0.254517,-0.114774,0.092576,0.001859,-0.783220,-0.001080,-2.355925,-0.003710,1.576281,0.774438,-0.000280,0.006371,-0.000929,-0.000731,-0.000822,0.000877,-0.000234
0.022081,-0.068981,0.388109,0.026198,-0.006618,0.057735,0.030025,-0.005018,-0.027235,-0.796514,0.177636,0.082061,0.253975,-0.114314,0.092202,0.001861,-0.783209,-0.001079,-2.355923,-0.003709,1.576283,0.774440,0.000507,0.007705,0.000018,-0.000035,-0.000038,0.000899,0.000823
0.023038,-0.072370,0.386462,0.025572,-0.006215,0.056972,0.031335,-0.005639,-0.025345,-0.801386,0.178901,0.084505,0.253450,-0.113863,0.091809,0.001859,-0.783201,-0.001081,-2.355919,-0.003709,1.576279,0.774435,-0.000292,0.007930,-0.000949,0.001233,-0.000209,0.000610,-0.001272
0.023982,-0.075501,0.389671,0.028174,-0.005654,0.056067,0.032639,-0.005740,-0.023374,-0.804671,0.180162,0.085837,0.252933,-0.113487,0.091418,0.001859,-0.783189,-0.001077,-2.355917,-0.003709,1.576279,0.774437,-0.000120,0.009157,0.000226,0.000922,-0.000245,0.000444,-0.000409
0.024999,-0.077647,0.391838,0.028672,-0.005894,0.054713,0.033537,-0.006808,-0.021567,-0.806267,0.180972,0.086419,0.252412,-0.113089,0.091059,0.001859,-0.783184,-0.001078,-2.355918,-0.003709,1.576280,0.774436,-0.000066,0.007983,-0.000205,0.000554,-0.000126,0.000265,-0.000610
